block_label,bin_left,bin_right,bin_center,density,sine_kernel
gate0_default,2.0,2.0500000000000003,2.0250000000000004,1.012,0.99984789734449
gate0_default,2.0500000000000003,2.1,2.075,0.964,0.9987175673707619
gate0_default,2.1,2.15,2.125,0.996,0.9967140442783675
gate0_default,2.15,2.2,2.175,0.928,0.994152746323546
gate0_default,2.2,2.25,2.225,1.018,0.991367649692513
gate0_default,2.25,2.3000000000000003,2.2750000000000004,0.872,0.9886804676920498
gate0_default,2.3000000000000003,2.35,2.325,0.984,0.9863734500230478
gate0_default,2.35,2.4000000000000004,2.375,0.994,0.9846678267325267
gate0_default,2.4000000000000004,2.45,2.4250000000000003,1.056,0.9837092979652546
gate0_default,2.45,2.5,2.475,0.956,0.983561274532707
gate0_default,2.5,2.5500000000000003,2.5250000000000004,0.994,0.9842058672380218
gate0_default,2.5500000000000003,2.6,2.575,0.942,0.9855519638566388
gate0_default,2.6,2.6500000000000004,2.625,0.988,0.9874491733570118
gate0_default,2.6500000000000004,2.7,2.6750000000000003,1.052,0.9897059978381815
gate0_default,2.7,2.75,2.725,1.016,0.9921103402876748
gate0_default,2.75,2.8000000000000003,2.7750000000000004,1.034,0.9944503817234311
gate0_default,2.8000000000000003,2.85,2.825,0.978,0.9965339601317973
gate0_default,2.85,2.9000000000000004,2.875,1.028,0.9982048370443255
gate0_default,2.9000000000000004,2.95,2.9250000000000003,0.952,0.9993546147722389
gate0_default,2.95,3.0,2.975,0.972,0.9999295285980649
gate0_default,3.0,3.0500000000000003,3.0250000000000004,0.976,0.9999318389780205
gate0_default,3.0500000000000003,3.1,3.075,1.034,0.9994160434673263
gate0_default,3.1,3.1500000000000004,3.125,0.976,0.9984805740743171
gate0_default,3.1500000000000004,3.2,3.1750000000000003,0.986,0.9972560070012351
gate0_default,3.2,3.25,3.225,0.99,0.995891061427462
gate0_default,3.25,3.3000000000000003,3.2750000000000004,0.988,0.9945377864319016
gate0_default,3.3000000000000003,3.35,3.325,0.95,0.993337326544708
gate0_default,3.35,3.4000000000000004,3.375,0.948,0.9924075246233774
gate0_default,3.4000000000000004,3.45,3.4250000000000003,0.992,0.9918333840138037
gate0_default,3.45,3.5,3.475,1.028,0.991661096821855
gate0_default,3.5,3.5500000000000003,3.5250000000000004,1.002,0.9918959836876948
gate0_default,3.5500000000000003,3.6,3.575,0.994,0.9925043173042731
gate0_default,3.6,3.6500000000000004,3.625,0.964,0.9934186509517743
gate0_default,3.6500000000000004,3.7,3.6750000000000003,0.994,0.994545974790566
gate0_default,3.7,3.75,3.725,1.048,0.9957778006827559
gate0_default,3.75,3.8000000000000003,3.7750000000000004,1.008,0.9970011470204989
gate0_default,3.8000000000000003,3.85,3.825,1.038,0.9981093654971558
gate0_default,3.85,3.9000000000000004,3.875,1.064,0.9990118197673759
gate0_default,3.9000000000000004,3.95,3.9250000000000003,1.016,0.999641580657113
gate0_default,3.95,4.0,3.975,0.94,0.999960525868328
gate0_default,4.0,4.05,4.025,0.948,0.9999615005006443
gate0_default,4.05,4.1000000000000005,4.075,0.928,0.9996674817124159
gate0_default,4.1000000000000005,4.15,4.125,0.94,0.9991279695100534
gate0_default,4.15,4.2,4.175000000000001,0.98,0.9984130709929693
gate0_default,4.2,4.25,4.225,0.964,0.997605936529337
gate0_default,4.25,4.3,4.275,1.004,0.996794328270506
gate0_default,4.3,4.3500000000000005,4.325,0.956,0.9960621460539724
