block_label,bin_left,bin_right,bin_center,density,sine_kernel
block_1e21_10k,1.8,1.85,1.8250000000000002,0.994,0.9916949027815575
block_1e21_10k,1.85,1.9000000000000001,1.875,0.984,0.9957793724286588
block_1e21_10k,1.9000000000000001,1.9500000000000002,1.9250000000000003,0.972,0.9985099210013794
block_1e21_10k,1.9500000000000002,2.0,1.975,0.992,0.9998400984581315
block_1e21_10k,2.0,2.0500000000000003,2.0250000000000004,0.98,0.99984789734449
block_1e21_10k,2.0500000000000003,2.1,2.075,0.956,0.9987175673707619
block_1e21_10k,2.1,2.15,2.125,1.042,0.9967140442783675
block_1e21_10k,2.15,2.2,2.175,0.966,0.994152746323546
block_1e21_10k,2.2,2.25,2.225,1.042,0.991367649692513
block_1e21_10k,2.25,2.3000000000000003,2.2750000000000004,1.002,0.9886804676920498
block_1e21_10k,2.3000000000000003,2.35,2.325,0.994,0.9863734500230478
block_1e21_10k,2.35,2.4000000000000004,2.375,0.99,0.9846678267325267
block_1e21_10k,2.4000000000000004,2.45,2.4250000000000003,1.006,0.9837092979652546
block_1e21_10k,2.45,2.5,2.475,0.996,0.983561274532707
block_1e21_10k,2.5,2.5500000000000003,2.5250000000000004,0.976,0.9842058672380218
block_1e21_10k,2.5500000000000003,2.6,2.575,1.034,0.9855519638566388
block_1e21_10k,2.6,2.6500000000000004,2.625,1.018,0.9874491733570118
block_1e21_10k,2.6500000000000004,2.7,2.6750000000000003,0.962,0.9897059978381815
block_1e21_10k,2.7,2.75,2.725,0.93,0.9921103402876748
block_1e21_10k,2.75,2.8000000000000003,2.7750000000000004,1.012,0.9944503817234311
block_1e21_10k,2.8000000000000003,2.85,2.825,1.058,0.9965339601317973
block_1e21_10k,2.85,2.9000000000000004,2.875,1.008,0.9982048370443255
block_1e21_10k,2.9000000000000004,2.95,2.9250000000000003,0.97,0.9993546147722389
block_1e21_10k,2.95,3.0,2.975,0.95,0.9999295285980649
block_1e21_10k,3.0,3.0500000000000003,3.0250000000000004,0.92,0.9999318389780205
block_1e21_10k,3.0500000000000003,3.1,3.075,0.998,0.9994160434673263
block_1e21_10k,3.1,3.1500000000000004,3.125,0.944,0.9984805740743171
block_1e21_10k,3.1500000000000004,3.2,3.1750000000000003,1.002,0.9972560070012351
block_1e21_10k,3.2,3.25,3.225,0.98,0.995891061427462
block_1e21_10k,3.25,3.3000000000000003,3.2750000000000004,1.012,0.9945377864319016
block_1e21_10k,3.3000000000000003,3.35,3.325,1.064,0.993337326544708
block_1e21_10k,3.35,3.4000000000000004,3.375,1.01,0.9924075246233774
block_1e21_10k,3.4000000000000004,3.45,3.4250000000000003,1.0,0.9918333840138037
block_1e21_10k,3.45,3.5,3.475,0.942,0.991661096821855
block_1e21_10k,3.5,3.5500000000000003,3.5250000000000004,1.004,0.9918959836876948
block_1e21_10k,3.5500000000000003,3.6,3.575,1.048,0.9925043173042731
block_1e21_10k,3.6,3.6500000000000004,3.625,0.96,0.9934186509517743
block_1e21_10k,3.6500000000000004,3.7,3.6750000000000003,0.946,0.994545974790566
block_1e21_10k,3.7,3.75,3.725,0.962,0.9957778006827559
block_1e21_10k,3.75,3.8000000000000003,3.7750000000000004,0.972,0.9970011470204989
block_1e21_10k,3.8000000000000003,3.85,3.825,1.042,0.9981093654971558
block_1e21_10k,3.85,3.9000000000000004,3.875,1.034,0.9990118197673759
block_1e21_10k,3.9000000000000004,3.95,3.9250000000000003,0.992,0.999641580657113
block_1e21_10k,3.95,4.0,3.975,0.958,0.999960525868328
