block_label,bin_left,bin_right,bin_center,density,sine_kernel
poisson,2.9000000000000004,2.95,2.9250000000000003,1.023897610238976,0.9993546147722389
poisson,2.95,3.0,2.975,0.9839016098390161,0.9999295285980649
poisson,3.0,3.0500000000000003,3.0250000000000004,1.01989801019898,0.9999318389780205
poisson,3.0500000000000003,3.1,3.075,1.03989601039896,0.9994160434673263
poisson,3.1,3.1500000000000004,3.125,1.001899810018998,0.9984805740743171
poisson,3.1500000000000004,3.2,3.1750000000000003,0.9679032096790321,0.9972560070012351
poisson,3.2,3.25,3.225,0.9859014098590141,0.995891061427462
poisson,3.25,3.3000000000000003,3.2750000000000004,1.003899610038996,0.9945377864319016
poisson,3.3000000000000003,3.35,3.325,0.9519048095190481,0.993337326544708
poisson,3.35,3.4000000000000004,3.375,0.9899010098990101,0.9924075246233774
poisson,3.4000000000000004,3.45,3.4250000000000003,1.011898810118988,0.9918333840138037
poisson,3.45,3.5,3.475,1.0458954104589542,0.991661096821855
poisson,3.5,3.5500000000000003,3.5250000000000004,0.9379062093790621,0.9918959836876948
poisson,3.5500000000000003,3.6,3.575,1.005899410058994,0.9925043173042731
poisson,3.6,3.6500000000000004,3.625,1.0338966103389662,0.9934186509517743
poisson,3.6500000000000004,3.7,3.6750000000000003,0.9719028097190281,0.994545974790566
poisson,3.7,3.75,3.725,0.9519048095190481,0.9957778006827559
poisson,3.75,3.8000000000000003,3.7750000000000004,0.9779022097790221,0.9970011470204989
poisson,3.8000000000000003,3.85,3.825,0.9419058094190581,0.9981093654971558
poisson,3.85,3.9000000000000004,3.875,0.9959004099590041,0.9990118197673759
poisson,3.9000000000000004,3.95,3.9250000000000003,1.03989601039896,0.999641580657113
poisson,3.95,4.0,3.975,1.0298970102989702,0.999960525868328
poisson,4.0,4.05,4.025,1.0138986101389862,0.9999615005006443
poisson,4.05,4.1000000000000005,4.075,0.9779022097790221,0.9996674817124159
poisson,4.1000000000000005,4.15,4.125,1.0778922107789222,0.9991279695100534
poisson,4.15,4.2,4.175000000000001,0.9959004099590041,0.9984130709929693
poisson,4.2,4.25,4.225,0.9419058094190581,0.997605936529337
poisson,4.25,4.3,4.275,0.9979002099790021,0.996794328270506
poisson,4.3,4.3500000000000005,4.325,1.0138986101389862,0.9960621460539724
poisson,4.3500000000000005,4.4,4.375,0.9879012098790121,0.9954817024085242
poisson,4.4,4.45,4.425000000000001,0.9859014098590141,0.9951074335138396
poisson,4.45,4.5,4.475,1.0538946105389462,0.9949715692923149
poisson,4.5,4.55,4.525,0.9799020097990201,0.9950820808795537
poisson,4.55,4.6000000000000005,4.575,0.9219078092190781,0.9954229981353603
poisson,4.6000000000000005,4.65,4.625,1.005899410058994,0.995956965266941
poisson,4.65,4.7,4.675000000000001,0.9859014098590141,0.9966296997125837
poisson,4.7,4.75,4.725,0.9539046095390461,0.997375856021888
poisson,4.75,4.800000000000001,4.775,1.0138986101389862,0.998125686061632
poisson,4.800000000000001,4.8500000000000005,4.825000000000001,1.0378962103789622,0.9988118375506166
poisson,4.8500000000000005,4.9,4.875,0.9739026097390261,0.9993756468089732
poisson,4.9,4.95,4.925000000000001,0.9959004099590041,0.9997723549078095
poisson,4.95,5.0,4.975,0.9799020097990201,0.9999747999918487
