index,gamma,source,block_label
1000000000138,267653395684.2186355461,odlyzko_block_1e12_10k,block_1e12_10k
1000000000139,267653395684.5135398129,odlyzko_block_1e12_10k,block_1e12_10k
1000000000140,267653395684.7119838891,odlyzko_block_1e12_10k,block_1e12_10k
1000000000141,267653395684.8225523655,odlyzko_block_1e12_10k,block_1e12_10k
1000000000142,267653395685.2182614496,odlyzko_block_1e12_10k,block_1e12_10k
1000000000143,267653395685.4219649252,odlyzko_block_1e12_10k,block_1e12_10k
1000000000144,267653395685.7221595205,odlyzko_block_1e12_10k,block_1e12_10k
1000000000145,267653395686.0713156866,odlyzko_block_1e12_10k,block_1e12_10k
1000000000146,267653395686.2251636864,odlyzko_block_1e12_10k,block_1e12_10k
1000000000147,267653395686.5201722132,odlyzko_block_1e12_10k,block_1e12_10k
1000000000148,267653395686.7851948817,odlyzko_block_1e12_10k,block_1e12_10k
1000000000149,267653395687.0028043530,odlyzko_block_1e12_10k,block_1e12_10k
1000000000150,267653395687.2160594076,odlyzko_block_1e12_10k,block_1e12_10k
1000000000151,267653395687.5706826554,odlyzko_block_1e12_10k,block_1e12_10k
1000000000152,267653395687.9399626561,odlyzko_block_1e12_10k,block_1e12_10k
1000000000153,267653395688.0515009895,odlyzko_block_1e12_10k,block_1e12_10k
1000000000154,267653395688.2227758040,odlyzko_block_1e12_10k,block_1e12_10k
1000000000155,267653395688.4653017980,odlyzko_block_1e12_10k,block_1e12_10k
1000000000156,267653395688.8035187487,odlyzko_block_1e12_10k,block_1e12_10k
1000000000157,267653395689.1402492149,odlyzko_block_1e12_10k,block_1e12_10k
1000000000158,267653395689.3323434361,odlyzko_block_1e12_10k,block_1e12_10k
1000000000159,267653395689.5514957990,odlyzko_block_1e12_10k,block_1e12_10k
1000000000160,267653395689.9272553560,odlyzko_block_1e12_10k,block_1e12_10k
1000000000161,267653395690.0977139142,odlyzko_block_1e12_10k,block_1e12_10k
1000000000162,267653395690.2800821109,odlyzko_block_1e12_10k,block_1e12_10k
1000000000163,267653395690.5360018794,odlyzko_block_1e12_10k,block_1e12_10k
1000000000164,267653395690.9271430598,odlyzko_block_1e12_10k,block_1e12_10k
1000000000165,267653395691.1839292290,odlyzko_block_1e12_10k,block_1e12_10k
1000000000166,267653395691.3751769042,odlyzko_block_1e12_10k,block_1e12_10k
1000000000167,267653395691.4870415340,odlyzko_block_1e12_10k,block_1e12_10k
1000000000168,267653395691.8850642894,odlyzko_block_1e12_10k,block_1e12_10k
1000000000169,267653395692.1923983808,odlyzko_block_1e12_10k,block_1e12_10k
1000000000170,267653395692.3854345053,odlyzko_block_1e12_10k,block_1e12_10k
1000000000171,267653395692.5702432342,odlyzko_block_1e12_10k,block_1e12_10k
1000000000172,267653395692.7389312018,odlyzko_block_1e12_10k,block_1e12_10k
1000000000173,267653395693.1270734796,odlyzko_block_1e12_10k,block_1e12_10k
1000000000174,267653395693.2912375385,odlyzko_block_1e12_10k,block_1e12_10k
1000000000175,267653395693.4713076321,odlyzko_block_1e12_10k,block_1e12_10k
1000000000176,267653395693.8849004329,odlyzko_block_1e12_10k,block_1e12_10k
1000000000177,267653395694.1701714959,odlyzko_block_1e12_10k,block_1e12_10k
1000000000178,267653395694.4230069959,odlyzko_block_1e12_10k,block_1e12_10k
